timestamp;ax;ay;az;gx;gy;gz
238569;-0.1227;0.2024;0.5766;0.0153;0.1450;-0.0153
238614;-0.1178;0.1987;0.5708;-0.0076;-0.2519;-0.0687
238659;-0.1191;0.1984;0.5834;-0.0916;-0.1221;-0.1756
238704;-0.1223;0.2077;0.5708;-0.2519;0.2214;-0.4885
238749;-0.1393;0.1965;0.5806;-0.2901;-0.4656;-0.3740
238794;-0.1197;0.1939;0.5878;-0.5115;-13.511;-0.5649
238839;-0.1255;0.1860;0.5978;-0.3359;0.9084;-0.3130
238884;-0.1144;0.1877;0.5814;-0.3206;0.2290;-0.2901
238929;-0.1369;0.1917;0.5876;-0.2137;0.5267;-0.1298
238974;-0.1279;0.1994;0.5958;-0.2366;-0.1527;-0.2748
239019;-0.1303;0.1898;0.5995;-0.2137;-0.1527;-0.1756
239064;-0.1251;0.1865;0.5897;-0.1374;0.0916;-0.0229
239109;-0.1361;0.1875;0.5943;0.0000;0.1908;0.1908
239154;-0.1348;0.1895;0.5799;0.1374;-0.0076;0.3130
239199;-0.1261;0.1873;0.5877;0.1527;-0.1603;0.2366
239244;-0.1304;0.1945;0.5937;0.2061;0.0229;0.3130
239289;-0.1248;0.1878;0.5887;0.2748;0.0076;0.2977
239334;-0.1237;0.2001;0.5917;0.1832;0.0611;0.3206
239379;-0.1208;0.1984;0.5873;0.0534;0.1374;0.1985
239424;-0.1281;0.2003;0.5876;-0.1450;0.0687;0.0611
239469;-0.1283;0.1950;0.5869;-0.3130;0.1450;-0.2366
239514;-0.1227;0.2324;0.5954;-0.9313;-0.3511;-0.5954
239559;-0.0923;0.2619;0.5983;-22.901;0.3969;-19.618
239604;-0.1093;0.3472;0.6857;-55.573;34.427;-37.405
239649;-0.1720;0.3803;0.6349;-86.107;53.817;-78.321
239694;-0.3406;0.2576;0.6863;-90.000;0.4580;-87.252
239739;-0.3174;0.1143;0.7634;-91.756;-41.908;-72.672
239784;-0.2740;0.0428;0.8870;-91.603;0.8168;-80.153
239829;-0.3521;0.0219;0.8700;-84.733;10.458;-65.954
239874;-0.2800;-0.0612;0.9084;-69.237;65.496;-68.092
239919;-0.4269;-0.0892;0.8633;-54.962;130.916;-111.908
239964;-0.5834;-0.1318;0.8728;-50.916;55.344;-76.794
240009;-0.4996;-0.1572;0.9272;-42.977;68.779;-63.359
240054;-0.5482;-0.1888;0.9291;-46.718;39.313;-52.748
240099;-0.5070;-0.2221;0.9855;-41.221;122.519;-39.542
240144;-0.6765;-0.2273;0.8792;-40.458;139.008;-34.046
240189;-0.7077;-0.2335;0.8263;-41.221;138.397;-24.198
240234;-0.7728;-0.2765;0.7395;-35.954;107.328;-16.870
240279;-0.7224;-0.3061;0.7485;-33.359;68.626;0.3740
240324;-0.7410;-0.2585;0.7448;-28.702;83.511;24.809
240369;-0.7538;-0.2098;0.6849;-27.863;95.115;34.809
240414;-0.8327;-0.1765;0.6846;-33.282;116.336;35.344
240459;-0.8753;-0.1515;0.5711;-43.893;96.870;56.260
240504;-0.8113;-0.1185;0.5882;-45.878;104.275;68.855
240549;-0.8299;-0.1371;0.4969;-46.947;89.389;70.534
240594;-0.8029;-0.0809;0.4186;-48.702;57.786;73.511
240639;-0.8444;-0.0544;0.3681;-50.000;22.748;62.366
240684;-0.7894;-0.0805;0.4368;-44.962;-0.8015;62.824
240729;-0.7660;0.0000;0.4386;-34.351;31.221;59.389
240774;-0.8282;0.0214;0.3909;-33.969;20.916;56.718
240819;-0.7844;0.0218;0.4618;-25.344;13.588;49.313
240864;-0.7841;0.0424;0.4740;-17.099;13.511;35.954
240909;-0.7891;0.0265;0.4828;-0.4275;25.573;25.802
240954;-0.8036;0.0227;0.4848;-0.0305;-0.1832;23.740
240999;-0.7205;0.0000;0.5419;0.1603;-0.6641;12.672
241044;-0.7574;0.0000;0.4995;0.1450;0.5496;0.6794
241089;-0.7252;0.0465;0.5417;-0.4275;-0.1221;0.3053
241134;-0.7509;0.0297;0.5317;-0.2977;0.9389;-0.7481
241179;-0.7658;0.0299;0.5198;-0.2672;-13.282;-0.9771
241224;-0.7727;0.0000;0.5378;0.0458;-32.061;-12.824
241269;-0.7395;0.0446;0.5311;0.4504;-40.534;-15.115
241314;-0.7509;0.0402;0.5266;0.1221;-61.069;-22.824
241359;-0.7621;0.0000;0.5610;0.1374;-71.527;-22.290
241404;-0.7297;0.0000;0.6149;0.4198;-87.786;-24.427
241449;-0.7355;0.0000;0.6239;0.9847;-89.924;-30.458
241494;-0.7234;0.0000;0.6060;0.9695;-113.130;-32.977
241539;-0.7175;-0.0283;0.6503;12.595;-146.718;-40.000
241584;-0.6306;-0.0487;0.6726;17.863;-173.817;-40.076
241629;-0.5561;-0.0713;0.7314;20.076;-190.229;-42.290
241674;-0.4512;-0.0698;0.8320;22.519;-148.244;-47.939
241719;-0.4547;-0.0807;0.8642;24.198;-111.145;-49.618
241764;-0.4172;-0.0707;0.9200;32.824;-57.176;-45.725
241809;-0.4655;-0.0761;0.8804;33.740;-64.656;-39.160
241854;-0.4051;-0.0533;0.9399;31.603;-70.076;-25.344
241899;-0.3735;0.0000;0.9475;24.656;-71.756;-22.137
241944;-0.3450;0.0000;0.9774;19.542;-43.053;-13.893
241989;-0.3604;0.0000;0.9542;12.366;-28.321;-0.8931
242034;-0.3452;0.0000;0.9685;0.9237;-0.4351;-0.0382
242079;-0.3700;0.0000;0.9565;0.0076;-0.8321;0.6641
242124;-0.3624;-0.0257;0.9759;-0.0916;12.290;14.580
242169;-0.4156;-0.0391;0.9592;-0.1374;13.817;14.885
242214;-0.4264;-0.0332;0.9484;-0.2672;0.3282;15.038
242259;-0.4111;-0.0454;0.9585;-0.4809;0.9313;14.656
242304;-0.4047;-0.0422;0.9469;-0.8931;22.214;12.519
242349;-0.3882;-0.0525;0.9613;-13.435;47.710;11.832
242394;-0.4288;-0.0636;0.9435;-13.664;72.748;0.9313
242439;-0.4340;-0.0652;0.9294;-13.893;82.748;13.664
242484;-0.4498;-0.0653;0.9176;-16.183;102.977;12.214
242529;-0.4940;-0.0474;0.8880;-17.557;125.115;19.618
242574;-0.5250;-0.0227;0.8537;-26.260;134.046;23.206
242619;-0.5420;0.0380;0.9026;-40.763;163.130;15.802
242664;-0.5588;0.0000;0.8306;-55.954;196.565;-0.1221
242709;-0.5914;-0.0722;0.7548;-56.641;231.221;0.0153
242754;-0.6765;-0.1503;0.6326;-39.466;238.015;-0.5191
242799;-0.8008;-0.1644;0.4266;-36.794;149.542;0.2977
242844;-0.7153;-0.1568;0.4897;-40.763;62.748;0.4885
242889;-0.6744;-0.1305;0.4855;-26.031;122.061;0.6260
242934;-0.7075;-0.1280;0.3909;-15.725;153.053;0.2672
242979;-0.8790;-0.0956;0.2218;-0.9542;128.550;0.5115
243024;-0.8445;-0.0769;0.2690;-28.168;34.198;15.191
243069;-0.9081;-0.0411;0.2869;-14.809;49.847;15.267
243114;-0.8998;0.0000;0.2440;-27.099;-0.7405;17.557
243159;-0.8603;-0.0223;0.3678;-23.740;0.3435;11.908
243204;-0.8399;0.0000;0.3454;-10.687;45.802;0.8855
243249;-0.9111;-0.0334;0.2807;0.2290;48.397;0.3588
243294;-0.8621;-0.0461;0.3205;-0.5344;0.2214;0.5954
243339;-0.8359;-0.0516;0.3014;-0.0458;0.0992;0.2519
243384;-0.8027;-0.0620;0.3760;-0.3359;13.130;0.1069
243429;-0.8406;-0.0618;0.3055;0.1756;35.038;-0.0916
243474;-0.8246;-0.0596;0.2884;0.0076;12.519;-0.3893
243519;-0.8234;-0.0427;0.2751;-0.0840;-0.9389;-0.7405
243564;-0.7754;-0.0345;0.3237;-0.4427;-15.725;-0.8321
243609;-0.7724;-0.0580;0.3543;0.0305;17.557;-12.595
243654;-0.7765;-0.0707;0.3332;-0.7710;0.6947;-0.7023
243699;-0.7653;-0.0629;0.3559;-0.4046;29.008;-0.7252
243744;-0.8027;-0.0662;0.3008;-0.5496;17.557;-0.4427
243789;-0.7806;-0.0877;0.3682;-0.7863;13.130;-0.6031
243834;-0.8021;-0.0811;0.3116;-0.7252;17.634;-0.6412
243879;-0.8107;-0.1008;0.3224;-0.9542;0.2366;-0.8015
243924;-0.7868;-0.0886;0.3542;-0.8626;0.4198;-0.3893
243969;-0.7945;-0.0914;0.3420;-0.2519;36.031;-0.7176
244014;-0.8536;-0.0928;0.2341;-0.5191;10.229;-0.4198
244059;-0.7995;-0.0872;0.3111;-11.450;-24.122;-0.1756
244104;-0.7901;-0.1102;0.3360;-0.1908;16.794;-0.1221
244149;-0.8394;-0.1064;0.2667;-0.4198;0.0916;-0.0458
244194;-0.8026;-0.0959;0.3003;-0.5878;-0.8550;0.0992
244239;-0.8238;-0.0918;0.3289;-0.0534;0.7023;0.1374
244284;-0.8311;-0.0877;0.2919;0.0458;-0.1603;0.0992
244329;-0.8119;-0.0947;0.3000;0.0153;0.0076;0.0916
244374;-0.8303;-0.0934;0.3227;-0.0229;0.2672;0.0458
244419;-0.8294;-0.0978;0.3189;-0.0229;-0.1908;0.1374
244464;-0.8087;-0.0902;0.3154;0.0763;-0.2137;0.0916
244509;-0.8264;-0.0906;0.3235;0.1298;0.6107;0.0840
244554;-0.8320;-0.0970;0.3094;-0.0229;-0.1374;-0.2290
244599;-0.8151;-0.0855;0.3109;-0.1145;-0.2595;-0.1374
244644;-0.8090;-0.0876;0.3259;-0.3053;0.0992;-0.3130
244689;-0.8067;-0.0995;0.3169;-0.2366;0.4733;-0.3893
244734;-0.8030;-0.1035;0.3088;-0.0534;-0.3359;-0.1832
244779;-0.7736;-0.1127;0.3404;0.2519;10.534;-0.2366
244824;-0.7852;-0.1206;0.3205;12.672;36.336;-0.3511
244869;-0.7958;-0.1193;0.2712;15.725;34.962;-0.3588
244914;-0.7927;-0.0915;0.2685;14.351;32.519;-0.3817
244959;-0.7936;-0.0799;0.2353;13.359;41.221;-0.2443
245004;-0.8314;-0.0790;0.1821;13.664;41.145;-0.3817
245049;-0.8237;-0.0849;0.1257;0.5649;0.8550;-0.8015
245094;-0.7838;-0.1089;0.1713;-0.0458;-12.595;-60.382
245139;-0.9315;-0.1645;0.2060;12.824;63.664;-37.863
245184;-0.9102;-0.1328;0.0249;0.6641;0.9542;-51.527
245229;-10.369;-0.2095;0.2087;-0.2214;-60.305;-0.8626
245274;-0.8710;-0.1822;0.1973;12.443;0.0916;-0.4122
245319;-0.9689;-0.1612;0.1459;0.4122;-50.153;-0.6641
245364;-0.8408;-0.1849;0.2837;-0.0840;-48.626;0.1832
245409;-0.8760;-0.1904;0.2095;0.3740;12.443;-0.4809
245454;-0.8915;-0.2001;0.2032;-0.3817;-0.8015;-0.3740
245499;-0.8815;-0.2004;0.2096;-0.4580;-0.9237;-0.4122
245544;-0.8896;-0.2041;0.2299;0.2137;0.6107;-0.5267
245589;-0.9236;-0.1749;0.1872;0.2824;-0.5267;-0.3588
245634;-0.9216;-0.1626;0.2259;-0.0916;-11.756;-0.5191
245679;-0.9240;-0.1686;0.2141;-0.1527;0.1145;-0.8626
245724;-0.9562;-0.2078;0.2145;0.0992;0.0000;-11.450
245769;-0.9417;-0.2043;0.2140;0.1069;-15.038;-11.908
245814;-0.9288;-0.2270;0.2414;0.3664;-18.779;-12.595
245859;-0.9431;-0.2341;0.2452;0.8779;-19.313;-11.298
245904;-0.9223;-0.2415;0.2607;0.6641;-35.802;-11.374
245949;-0.9117;-0.2546;0.2867;0.6336;-15.649;-12.137
245994;-0.9368;-0.2679;0.2814;0.3359;-19.313;-11.832
246039;-0.9267;-0.2776;0.3158;0.4351;-22.290;-0.8626
246084;-0.9295;-0.2643;0.3045;0.5038;-17.099;-0.8397
