timestamp;ax;ay;az;gx;gy;gz
161034;-0.0983;0.2077;0.4855;0.0305;-0.0229;-0.0229
161079;-0.0829;0.2180;0.4954;-0.0992;-0.0840;-0.1145
161124;-0.0977;0.2145;0.4868;-0.0076;0.1069;-0.0305
161169;-0.0932;0.2136;0.4811;-0.0687;-0.1908;-0.0305
161214;-0.0757;0.2139;0.4875;-0.0305;-0.3664;-0.0840
161259;-0.0867;0.2221;0.4880;-0.0992;0.0382;0.0305
161304;-0.0827;0.2070;0.4832;-0.0687;0.0000;0.1298
161349;-0.1011;0.2174;0.4850;-0.1450;-0.0458;0.1221
161394;-0.0808;0.2047;0.4889;-0.1221;-0.1374;0.1450
161439;-0.0882;0.1999;0.4754;-0.1145;0.2137;0.0229
161484;-0.0875;0.2004;0.4903;-0.0992;-0.2366;0.1145
161529;-0.0869;0.2088;0.4887;-0.0382;0.0687;0.0840
161574;-0.0920;0.2169;0.4779;-0.0229;-0.1756;0.1145
161619;-0.0925;0.1988;0.4962;-0.0458;-0.2061;0.0229
161664;-0.0862;0.2145;0.4832;-0.1069;0.1298;-0.0611
161709;-0.0941;0.2033;0.5004;-0.0611;-0.1832;-0.0534
161754;-0.0861;0.2141;0.4997;-0.0076;-0.3435;0.1298
161799;-0.0853;0.2147;0.4933;-0.0840;-0.0611;-0.0305
161844;-0.0866;0.2167;0.4858;-0.1603;-0.1603;-0.0534
161889;-0.0876;0.2049;0.4991;-0.0687;0.0916;0.0000
161934;-0.0742;0.2084;0.5019;-0.1069;0.0916;-0.0687
161979;-0.0892;0.1948;0.4927;-0.1069;0.2672;0.0763
162024;-0.0886;0.2167;0.4891;-0.0458;-0.1069;0.0687
162069;-0.0917;0.2025;0.4776;0.1069;0.1450;-0.0534
162114;-0.0916;0.2144;0.4973;0.2443;-0.0916;0.0305
162159;-0.0839;0.2140;0.5068;0.1985;-0.1603;-0.1145
162204;-0.0822;0.2102;0.4968;0.0305;0.3130;-0.0458
162249;-0.0867;0.2238;0.4996;-0.0534;0.0458;-0.0611
162294;-0.0833;0.2099;0.4998;-0.0992;0.3817;-0.0763
162339;-0.0826;0.2077;0.4894;-0.0687;-0.1527;-0.1069
162384;-0.0854;0.2058;0.5010;-0.0458;0.0611;-0.0153
162429;-0.0883;0.2087;0.4854;-0.0076;0.4198;0.0305
162474;-0.0842;0.2174;0.4792;0.0000;-0.0763;0.1298
162519;-0.0862;0.2134;0.4980;0.2672;-0.1832;0.1756
162564;-0.0728;0.2149;0.4898;0.1298;0.4046;0.0000
162609;-0.0909;0.2142;0.4972;-0.0229;0.2366;-0.0840
162654;-0.0789;0.2151;0.4950;-0.0458;-0.0229;0.0534
162699;-0.0833;0.2064;0.4994;0.0916;0.1450;-0.1069
162744;-0.0911;0.2105;0.4980;-0.0076;0.2519;0.1069
162789;-0.0877;0.2187;0.4899;-0.0687;-0.1603;0.0229
162834;-0.0884;0.2138;0.4800;0.0000;0.2595;-0.0687
